Course Title,Meeting Pattern
RE1022 College and Career Planning (RE1022-002),A2
RE1022 College and Career Planning (RE1022-003),A3
RE1022 College and Career Planning (RE1022-004),A4
RE1022 College and Career Planning (RE1022-005),B2
RE1022 College and Career Planning (RE1022-006),B4
RE1022 College and Career Planning (RE1022-007),C3
RE1022 College and Career Planning (RE1022-008),C4
RE1022 College and Career Planning (RE1022-009),C4
RE1022 College and Career Planning (RE1022-010),D2
RE1022 College and Career Planning (RE1022-011),D3
RE1022 College and Career Planning (RE1022-012),E2
RE1022 College and Career Planning (RE1022-013),E3
RE1022 College and Career Planning (RE1022-014),F3
RE1022 College and Career Planning (RE1022-015),F3
RE1022 College and Career Planning (RE1022-016),F4
RE1022 College and Career Planning (RE1022-017),G3
SE4001 Emergency Care (SE4001-002),B124L
SE4001 Emergency Care (SE4001-002),B124L
SP3052 Journeys in Spanish II (SP3052-001),B1245
SP3052 Journeys in Spanish II (SP3052-002),E1235
SP3052 Journeys in Spanish II (SP3052-003),D1235
SP3250 Breakthroughs in Spanish (SP3250-001),B1245
SP3652 Navigating in Spanish II (SP3652-001),B1245
SP3652 Navigating in Spanish II (SP3652-002),D1235
SP3850 Explorations in Spanish with Topics (SP3850-001),E1235
SP4052 Advanced Spanish for Global Applications II (SP4052-001),C1345
SP4052 Advanced Spanish for Global Applications II (SP4052-002),A1234
SP4652 Readings in Spanish with Topics II (SP4652-001),G135L
SS4030 Medical Sociology (SS4030-002),B124
SS4040 Topics in Psychology (SS4040-001),E135
SS4050 AP Psychology (SS4050-002),D1235
SS4070 AP Macroeconomics (SS4070-002),G135L
SS4070 AP Macroeconomics,G135L
