Term,Section,Course Number and Title,Meeting Pattern
Spring,7,MA4032 AP Calculus BC w/ Advanced Topics II,F1234L
Spring,8,MA4032 AP Calculus BC w/ Advanced Topics II,G12L34
Spring,9,MA4032 AP Calculus BC w/ Advanced Topics II,A12L45
Spring,10,MA4032 AP Calculus BC w/ Advanced Topics II,C13L45
Spring,3,MA4050 Modeling with Differential Equations,C13L45
Spring,4,MA4050 Modeling with Differential Equations,E123L5
Spring,4,MA4060 Multivariable Calculus,D1235L
Spring,5,MA4060 Multivariable Calculus,A12L45
Spring,1,MA4102 AP Statistics w/ Advanced Topics II,D1235L
Spring,2,MA4102 AP Statistics w/ Advanced Topics II,B134L5
Spring,3,MA4102 AP Statistics w/ Advanced Topics II,F1234L
Spring,4,MA4102 AP Statistics w/ Advanced Topics II,G12L34
Spring,5,MA4102 AP Statistics w/ Advanced Topics II,B134L5
Spring,3,MA4110 Foundations of Data Science,E13L5L
Spring,4,MA4110 Foundations of Data Science,A12L45
Spring,1,MA4112 Advanced Data Science,F1234L
Spring,5,MA4210 Topics in Civic Mathematics,E13L5L
Spring,1,MA4230 Complex Systems and Modern Networks,B134L5
Spring,1,MA4240 Numerical Analysis,C13L45
Spring,1,MA4300 Combinatorics and Game Theory,B134L
Spring,2,MA4300 Combinatorics and Game Theory,A12L4
Spring,1,MA4310 Topics in Theoretical Mathematics,F1234L
Spring,3,MA4500 Graph Theory with REX Math,G12L34
Spring,1,MA4510 Research in Math,G12L34
Spring,1,MU3500 Classical Piano and Guitar,C145
Spring,2,MU3500 Classical Piano and Guitar,G234
Spring,1,MU4100 Chorale,E13L5L
Spring,2,MU4100 Chorale,M12345
Spring,1,MU4110 Wind Ensemble,H24
Spring,2,MU4110 Wind Ensemble,M12345
Spring,2,MU4120 Jazz Performance Workshop,E13L5
Spring,1,MU4130 Orchestra,H24
Spring,2,MU4130 Orchestra,M12345
Spring,1,MU4310 AP Music Theory,M12 + asynchronous
Spring,2,PA1000 Racquet Sports I,A2L
Spring,3,PA1000 Racquet Sports I,G2L
Spring,2,PA1003 Disc Sports,B4L
Spring,2,PA1005 Weight Trng/Sprts & Fitness,C3L
Spring,3,PA1005 Weight Trng/Sprts & Fitness,E3 Lab
Spring,4,PA1005 Weight Trng/Sprts & Fitness,F4L
Spring,3,PA1006 Team Sports,D5L
Spring,4,PA1006 Team Sports,E5L
Spring,3,PA1007 Pilates & Yoga,A2L
Spring,4,PA1007 Pilates & Yoga,G2L
Spring,2,PA1008 Self Defense,C3L
Spring,2,PA1009 Hiking,A2L
Spring ,1,PH3500 Physics Core: Mechanics,F1234L
Spring ,1,"PH3920 Waves Sound, and Optics",B134L5
Spring ,2,"PH3920 Waves Sound, and Optics",F1234L
Spring ,3,"PH3920 Waves Sound, and Optics",D1235L
Spring ,1,PH4000 Physics Core: E&M,A12L45
Spring ,2,PH4000 Physics Core: E&M,G12L34
Spring ,3,PH4000 Physics Core: E&M,C13L45
Spring ,1,PH4020 Physics Core: Mechanics (Math Intensive) (*M*),E123L5
Spring ,2,PH4020 Physics Core: Mechanics (Math Intensive) (*M*),B134L5
Spring ,3,PH4020 Physics Core: Mechanics (Math Intensive) (*M*),F1234L
Spring ,4,PH4020 Physics Core: Mechanics (Math Intensive) (*M*),D1235L
Spring ,1,PH4120 Physics Core: E&M (Math Intensive) (*M*),A12L45
Spring ,2,PH4120 Physics Core: E&M (Math Intensive) (*M*),G12L34
Spring ,3,PH4120 Physics Core: E&M (Math Intensive) (*M*),C13L45
Spring ,4,PH4120 Physics Core: E&M (Math Intensive) (*M*),E123L5
Spring,1,PH4130 Computational Physics,G12L34
Spring ,1,PH4150/EE4150 Elements of Satellite Design,F1234L
Spring ,1,PH4180 Astrophysics (*R*),B134L5
Spring,2,PH4180 Astrophysics (*R*),E123L5
Spring ,1,PH4241 AP Physics C: E&M,D1235L
Spring ,1,PH4260 Quantum Physics,C13L45
Spring ,1,PH4921 Research in Physics II (*R*),F1234LG12L34
Spring,4,RE1012 Public Speaking,A4
Spring,5,RE1012 Public Speaking,E3
Spring,6,RE1012 Public Speaking,G3
Spring,7,RE1012 Public Speaking,C3
Spring,1,RE1018 Excellence in Leadership,C4
Spring,2,RE1018 Excellence in Leadership,E2
Spring,3,RE1018 Excellence in Leadership,F3
Spring,6,Financial Planning,B2
Spring,7,Financial Planning,E3
Spring,8,Financial Planning,G3
Spring ,1,College and Career Planning,A2
Spring ,2,College and Career Planning,A4
Spring,3,College and Career Planning,B3
Spring,4,College and Career Planning,B4
Spring,5,College and Career Planning,C3
Spring,6,College and Career Planning,C4
Spring,7,College and Career Planning,D2
Spring,8,College and Career Planning,D3
Spring,9,College and Career Planning,E2
Spring,10,College and Career Planning,E2
Spring,11,College and Career Planning,E3
Spring,12,College and Career Planning,F2
Spring,13,College and Career Planning,F3
Spring,14,College and Career Planning,F4
Spring,15,College and Career Planning,G3
Spring,16,College and Career Planning,G4
Spring,2,SE4001 Emergency Care,B134L 
Spring,1,SP3052 Journeys in Spanish II,B1345
Spring,2,SP3052 Journeys in Spanish II,F1234
Spring,1,SP3652 Navigating in Spanish II,A1245
Spring,2,SP3652 Navigating in Spanish II,E1235
Spring,3,SP3652 Navigating in Spanish II,G1234
Spring,4,SP3652 Navigating in Spanish II,B1345
Spring,1,SP4051 Spanish for Heritage Speakers,D1235
Spring,1,SP4252 Topics in Advanced Spanish II,D1235
Spring,2,SP4252 Topics in Advanced Spanish II,A1245
Spring,2,SS4030 Medical Sociology,B145
Spring,3,SS4050 AP Psychology,A1245
Spring,2,SS4050 AP Psychology,D1235
Spring,1,SS4070 AP Macroeconomics,E13L5
